details,price,adress,image_link,page,category
KIA SPORTAGE 2023,22000000,Dakar, media/annonces/pics/thumbs/8fa39277b6b745d84ef9748c653e72b8.jpeg ,1,vehicles
KIT DE DÉPANNAGE - CAISSE 1 OUTILS DE VOITURE SCOOTER - DOUILLE et CLIQUET  ,28500,Castors, media/annonces/pics/thumbs/390d2523f8605ffa64dfa7fedefb5310.png ,1,vehicles
CAISSE A OUTILS - DOUILLE et CLIQUET  POUR VOS DÉPANNAGES D'URGENCE,9999,Castors, media/annonces/pics/thumbs/d3af142e8cba6467524f8783d0b2d2c1.png ,1,vehicles
jeep Cherokee ,8900000,Amitié, media/annonces/pics/thumbs/529cabd00f51603bbfcaae3c5d931345.jpeg ,1,vehicles
Toyota corolla 2010,3200000,Grand Yoff, media/annonces/pics/thumbs/b7cd34f44d989bf97bc9e15f2c8ba133.jpg ,1,vehicles
Hyundai elantara,7500000,Amitié, media/annonces/pics/thumbs/8c7612d7b8cbaacfd6c4906310924a10.jpeg ,1,vehicles
Hyundai sonata 2013,3350000,Dakar, media/annonces/pics/thumbs/79a5a594950da44fd0514b6404ab5739.jpg ,1,vehicles
Citroën DS4,6700000,Ouakam, media/annonces/pics/thumbs/4728323fde10cfba1992230d2481675e.jpeg ,1,vehicles
Cadillac Platinium,8600000,Biagui, media/annonces/pics/thumbs/0057660ef784d9e491a1f82f3d3f84f2.jpeg ,1,vehicles
Toyota CH-R 2019 VENANT,15900000,Dakar, media/annonces/pics/thumbs/623468cab6b4ee0358d580027ba53d42.jpg ,1,vehicles
Hyundai i10,1950000,Guédiawaye, media/annonces/pics/thumbs/49e01bea99b07f7791acfb64263b1186.jpg ,1,vehicles
Ordinateur Lenovo Thinkpad X380,230000,Dakar, media/annonces/pics/thumbs/b5141b5ca81b43460848b80714288833.jpeg ,1,vehicles
Ordinateur Dell Latitude 3190,120000,Dakar, media/annonces/pics/thumbs/c7e02288a709c10b1353a55ef5f822b2.jpeg ,1,vehicles
Jeep Gladiator Rubicon,4500000,Amitié, media/annonces/pics/thumbs/8ba7bdc109710b86bddfee29f1d9923f.jpeg ,1,vehicles
