web-scraper-order,web-scraper-start-url,details,prix,adresse,image-lien-src
"1706123534-1","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","ORGANISEUR POUR VOITURE","8 500 FCFA","Dakar","media/annonces/pics/thumbs/ff283a4ef0e2c75c782ee031ba194f63.jpg"
"1706123534-2","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Bateau à louer","90 000 FCFA","Somone","media/annonces/pics/thumbs/f3fe90a0ee4bb8c0e3232774052718cf.jpg"
"1706123534-3","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location  nissan juke","50 000 FCFA","Plateau","img/nophoto.png"
"1706123534-4","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","loue voiture toutes marque à partir de 25 000 cfa","30 000 FCFA","Ouest Foire","media/annonces/pics/thumbs/238760a28f9060a5d01fcf5ecd260e2a.png"
"1706123534-5","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Toyota sequoia v8 a louer","100 000 FCFA","Plateau","media/annonces/pics/thumbs/516fe4d4d1e6c03dbbf60241d5bbeeaa.jpg"
"1706123534-6","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location de voiture cobalt","25 000 FCFA","Plateau","media/annonces/pics/thumbs/b8beb78f2536162ef279fa99eb2c6e15.jpg"
"1706123534-7","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Nissan juke","50 000 FCFA","Plateau","media/annonces/pics/thumbs/efc3fa21f902e1e8691a6d23e14eb5d8.jpg"
"1706123534-8","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Toyota yaris sedan","20 000 FCFA","Plateau","media/annonces/pics/thumbs/2edb1d489a6de9f9c188533b89c779ca.jpg"
"1706123534-9","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Sen service location loue des voiture des marques","30 000 FCFA","Plateau","media/annonces/pics/thumbs/15ea8355bee0950e2b7f50a9ad50b086.jpg"
"1706123534-10","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location de voitures et mini bus avec chauffeur","50 000 FCFA","Plateau","media/annonces/pics/thumbs/baf6b26075945f9226489851936d8d65.jpg"
"1706123534-11","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=4","Location d'une citroen c4","20 000 FCFA","Plateau","media/annonces/pics/thumbs/a86bdb3107f5ddda48690f79dac478e3.jpg"
"1706123541-12","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location de voiture","15 000 FCFA","Saly","media/annonces/pics/thumbs/59d2477813b328cea3dbb7180a43673b.jpg"
"1706123541-13","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location de véhicule","40 000 FCFA","Dakar","media/annonces/pics/thumbs/8d655237141e4f3504144cc5664afbcb.jpg"
"1706123541-14","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Kia Sorento à louer","35 000 FCFA","Sicap liberté","media/annonces/pics/thumbs/5fe2c39df0696bf785bca141064e934e.jpeg"
"1706123541-15","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Hyundai Santa Fe 2015 7 Places","50 000 FCFA","Plateau","media/annonces/pics/thumbs/332e3d5dd18e21e148d2952509c7dc38.jpeg"
"1706123541-16","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location voiture Ford Escape 2011","40 000 FCFA","Ouakam","media/annonces/pics/thumbs/ef0ec254b16b01753ea4422825cf52db.jpeg"
"1706123541-17","https://dakarvente.com/index.php?page=annonces_categorie&id=8&sort=&nb=3","Location de voiture avec ou sans chauffeur","20 000 FCFA","Thiès","media/annonces/pics/thumbs/326fa40afa5563f6cffbd4dab0ac3dd2.jpg"
