web-scraper-order,web-scraper-start-url,details,prix,adresse,image-lien
"1706122821-1","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Scooter agility","255 000 FCFA","Plateau",""
"1706122821-2","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Kymko 4 temps 125","140 000 FCFA","Plateau",""
"1706122821-3","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Nexus m-35","750 000 FCFA","Plateau",""
"1706122821-4","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Vespa 250","550 000 FCFA","Plateau",""
"1706122821-5","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Tmax 530","2 300 000 FCFA","Plateau",""
"1706122821-6","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Honda hornet 600","1 200 000 FCFA","Plateau",""
"1706122821-7","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Honda sh","1 200 000 FCFA","Plateau",""
"1706122821-8","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","T-max","1 700 000 FCFA","Plateau",""
"1706122821-9","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=11","Gilera piaggio stalker 50","350 000 FCFA","Plateau",""
"1706122831-10","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Honda sh 300i","800 000 FCFA","Plateau",""
"1706122831-11","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Yamaha xcity 250","500 000 FCFA","Plateau",""
"1706122831-12","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Honda integra","1 500 000 FCFA","Plateau",""
"1706122831-13","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Ktm duke 125","1 580 000 FCFA","Fann",""
"1706122831-14","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Tmax 500","850 000 FCFA","Plateau",""
"1706122831-15","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Moto SH","1 100 000 FCFA","Plateau",""
"1706122831-16","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Honda nc750x","2 700 000 FCFA","Plateau",""
"1706122831-17","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Kawasaki z750","1 650 000 FCFA","Plateau",""
"1706122831-18","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Scooter sh","500 000 FCFA","Plateau",""
"1706122831-19","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Moto scooter","500 000 FCFA","Plateau",""
"1706122831-20","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Liberty injection","325 000 FCFA","Plateau",""
"1706122831-21","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Tmax 530","1 400 000 FCFA","Plateau",""
"1706122831-22","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Moto bmw gs 1200","4 250 000 FCFA","Plateau",""
"1706122831-23","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","BMW gs 1200","3 500 000 FCFA","Plateau",""
"1706122831-24","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Moto apache","400 000 FCFA","Plateau",""
"1706122831-25","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Moto zip piaggio","200 000 FCFA","Plateau",""
"1706122831-26","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Yamaha MT 07","3 800 000 FCFA","Plateau",""
"1706122831-27","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Moto djakarta","250 000 FCFA","Plateau",""
"1706122831-28","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Moto","550 000 FCFA","Plateau",""
"1706122831-29","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Tmax DX","","Plateau",""
"1706122831-30","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Moto enduro bmw","2 000 000 FCFA","Plateau",""
"1706122831-31","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Moto  Xc 300","700 000 FCFA","Plateau",""
"1706122831-32","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Motocyclettes et tricycles","350 000 FCFA","Plateau",""
"1706122831-33","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Scooter","420 000 FCFA","Plateau",""
"1706122831-34","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Scooter majesty","500 000 FCFA","Plateau",""
"1706122831-35","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Tmax 500 injection en parfait état","1 200 000 FCFA","Plateau",""
"1706122831-36","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Typhoon","220 000 FCFA","Plateau",""
"1706122831-37","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Scooter honda arobase","250 000 FCFA","Plateau",""
"1706122831-38","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Honda sh 125","975 000 FCFA","Plateau",""
"1706122831-39","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","T-max 530 iron","4 000 000 FCFA","Plateau",""
"1706122831-40","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Scooter  Typhon","","Plateau",""
"1706122831-41","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Xc 300 versity","550 000 FCFA","Plateau",""
"1706122831-42","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Scooter Tmax","2 000 000 FCFA","Plateau",""
"1706122831-43","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Liberty 4temps50","700 000 FCFA","Plateau",""
"1706122831-44","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","TMAX 530 DX","4 500 000 FCFA","Plateau",""
"1706122831-45","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","SUPER MOTOS","1 250 000 FCFA","Plateau",""
"1706122831-46","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Sh 125 injection","","Plateau",""
"1706122831-47","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Vend hoverboard led venant des USA","100 000 FCFA","Plateau",""
"1706122831-48","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Honda transalp 700","2 000 000 FCFA","Plateau",""
"1706122831-49","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Yamaha  Yzf 450","4 000 000 FCFA","Plateau",""
"1706122831-50","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Tmax 500","1 650 000 FCFA","Plateau",""
"1706122831-51","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=10","Honda hornet 600","1 000 000 FCFA","Plateau",""
"1706122842-52","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Bmw gs 1200","3 500 000 FCFA","Dakar",""
"1706122842-53","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Honda sh 150i","550 000 FCFA","Pikine",""
"1706122842-54","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Moto cross","350 000 FCFA","Scat Urbam",""
"1706122842-55","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Sym wolf 250","1 000 000 FCFA","Dakar",""
"1706122842-56","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Toyota RAV4","","Dakar",""
"1706122842-57","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Moto Xmax","910 000 FCFA","Dakar",""
"1706122842-58","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Beverly 300","630 000 FCFA","Dakar",""
"1706122842-59","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Vend Moto BMW GS800","2 200 000 FCFA","Mamelles",""
"1706122842-60","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Vend Moto Kawasaki eliminator 125","700 000 FCFA","Mamelles",""
"1706122842-61","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Ducati hypermotard evo sp 2011","1 350 000 FCFA","Dakar",""
"1706122842-62","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Piaggio NRG DD kit 70","350 000 FCFA","Point E",""
"1706122842-63","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","moto majesty 150","200 000 FCFA","Keur Massar",""
"1706122842-64","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Quad polaris 500","3 560 000 FCFA","Saly",""
"1706122842-65","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Vente de moto/ jetski à Dakar venant des USA","1 FCFA","Almadies",""
"1706122842-66","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Kawasaki kx85","800 000 FCFA","Plateau",""
"1706122842-67","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Tmax 530","2 800 000 FCFA","Dakar",""
"1706122842-68","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Yamaha yz 125","800 000 FCFA","Almadies",""
"1706122842-69","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Tmax 500","1 200 000 FCFA","Dakar",""
"1706122842-70","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Yamaha tmax 530","1 850 000 FCFA","Mbao",""
"1706122842-71","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Moto bmw gs 1200","3 200 000 FCFA","Sacré Coeur",""
"1706122842-72","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Yamaha 250 tt","1 600 000 FCFA","Mbour",""
"1706122842-73","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Moto goccla venant d’Italie moteur 50 très puissant et tt les papiers en règle","180 FCFA","Fass",""
"1706122842-74","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Mbk booster","195 000 FCFA","Dakar",""
"1706122842-75","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Moto bmw gs1200","3 500 000 FCFA","Médina",""
"1706122842-76","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Sh","390 000 FCFA","Parcelles assainies",""
"1706122842-77","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Yamaha yz 125","800 000 FCFA","Almadies",""
"1706122842-78","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","ktm sx 85","","Plateau",""
"1706122842-79","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Yamaha yz85 / yz450","2 400 000 FCFA","Hann Maristes",""
"1706122842-80","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Majesty 250","","Dakar",""
"1706122842-81","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Majesty Skyliner 125","300 000 FCFA","Parcelles assainies",""
"1706122842-82","https://dakarvente.com/index.php?page=annonces_categorie&id=3&sort=&nb=9","Yamaha tmax 530","1 900 000 FCFA","Dakar",""
