web-scraper-order,web-scraper-start-url,details,prix,adresse,image-lien-src
"1706123852-1","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Samsung galaxy j7 pro 2017","149 900 FCFA","Plateau","media/annonces/pics/thumbs/da0d17cf899db710d8c1d750e8dbef25.jpg"
"1706123852-2","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Samsung galaxy s7 32gb","170 000 FCFA","Plateau","media/annonces/pics/thumbs/7c7922bf179115f5f9db5f8b474fbe9d.png"
"1706123852-3","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Motorola e4 plus","89 900 FCFA","Plateau","media/annonces/pics/thumbs/5ca6807ed1d73751ddc7f139c9880a48.jpg"
"1706123852-4","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Invens royal r7","29 900 FCFA","Plateau","media/annonces/pics/thumbs/a59dce6a166671a24f67b00c9eff929e.jpg"
"1706123852-5","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Iphone 7 plus","320 000 FCFA","Plateau","media/annonces/pics/thumbs/85e145bdb8bf070f84a0a14e60d66a08.jpg"
"1706123852-6","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Samsung galaxy j1 ace","44 900 FCFA","Plateau","media/annonces/pics/thumbs/b6d7220266fad3290bda735b1883d744.jpg"
"1706123852-7","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Samsung galaxy s6 edge","160 000 FCFA","Plateau","media/annonces/pics/thumbs/b09d788c7794fd2d16c632fa3e32d6ea.jpg"
"1706123852-8","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Tecno x camon","114 900 FCFA","Plateau","media/annonces/pics/thumbs/5abaa148aae9af69d6b2987266c3ac29.png"
"1706123852-9","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Invens f3","47 000 FCFA","Plateau","media/annonces/pics/thumbs/c4bcc6a1445c33727d86e255240e4a53.jpg"
"1706123852-10","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Iphone 5s 16gb gold","94 900 FCFA","Plateau","media/annonces/pics/thumbs/77d0bd6ac35276e49277ce26777d8e5c.jpg"
"1706123852-11","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Samsung galaxy j4","105 000 FCFA","Plateau","media/annonces/pics/thumbs/0086d33c2014997a88213f1f87877017.png"
"1706123852-12","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Tecno spark 2","64 900 FCFA","Plateau","media/annonces/pics/thumbs/4536f210e514c85d86298e11f7ff263b.png"
"1706123852-13","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Iphone 6s","169 900 FCFA","Plateau","media/annonces/pics/thumbs/2dca2e50e33253daee573995c6b520f5.jpg"
"1706123852-14","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Tecno w2","37 000 FCFA","Plateau","media/annonces/pics/thumbs/6686654eb11158bcfef5bdc6521f4ce8.jpg"
"1706123852-15","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Samsung galaxy j3","69 900 FCFA","Plateau","media/annonces/pics/thumbs/c0907d38ee0399aeb2898a27f1d815f1.jpg"
"1706123852-16","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Tecno f2","39 900 FCFA","Plateau","media/annonces/pics/thumbs/88a806ac2389205be1c624a51af50acc.jpg"
"1706123852-17","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Tablette enfant android 9pouces polaroid","32 500 FCFA","Plateau","media/annonces/pics/thumbs/28ffdeee367c3fddf25cca65a89dc226.jpg"
"1706123852-18","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Iphone 7 plus","330 000 FCFA","Plateau","media/annonces/pics/thumbs/dd69b45b2c4ca9789e968643f1338003.jpeg"
"1706123852-19","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Samsung galaxy grand prime+ 4g","57 900 FCFA","Plateau","media/annonces/pics/thumbs/6a85de31e6379f2390e3314eec87fb31.jpg"
"1706123852-20","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Iphone 8 plus","500 000 FCFA","Plateau","media/annonces/pics/thumbs/bba3d66b958b8ce0a3cef3ce70057d68.jpg"
"1706123852-21","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Samsung galaxy j3","69 900 FCFA","Plateau","media/annonces/pics/thumbs/588aab0a7019eeb3f3ca0741a651674a.png"
"1706123852-22","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Galaxy note 8","430 000 FCFA","Plateau","media/annonces/pics/thumbs/871f957aa0a064da0a2befd2c53ab42c.jpg"
"1706123852-23","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Motorola e4 plus","89 900 FCFA","Plateau","media/annonces/pics/thumbs/92c7994737a276dd1fc2c290411a5ff3.jpeg"
"1706123852-24","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Samsung galaxy s6 edge","159 900 FCFA","Plateau","media/annonces/pics/thumbs/7e827f0d8ed40feeeff65a5b0ef747b8.jpeg"
"1706123852-25","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Iphone 5s","80 000 FCFA","Plateau","media/annonces/pics/thumbs/9721713600cdfdc2646d9778be3e0cfc.jpeg"
"1706123852-26","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Samsung galaxy grand prime plus 4g","57 000 FCFA","Plateau","media/annonces/pics/thumbs/f57c0f01b47c67ad134a7304efe62f95.jpg"
"1706123852-27","https://dakarvente.com/index.php?page=annonces_categorie&id=32&sort=&nb=42","Ipad air 1","100 000 FCFA","Plateau","media/annonces/pics/thumbs/5ce958ccba81e204596af621e56f446f.jpg"
