web-scraper-order,web-scraper-start-url,details,prix,adresse,image-lien-src
"1706121398-1","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=50","Vente Flash Hyundai Tucson 2009","2 650 000 FCFA","Dakar","media/annonces/pics/thumbs/f70fae3d36ef14a7e3988463a7eb20a9.jpeg"
"1706121398-2","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=50","Ford Fusion","4 600 000 FCFA","Colobane","media/annonces/pics/thumbs/390384f6fb6fba559b01056d6c7dc1b6.jpeg"
"1706121398-3","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=50","Océan Afrique","","Ouest Foire","media/annonces/pics/thumbs/8ce41b47ac18801afdeace732593f2e9.png"
"1706121398-4","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=50","Tricycle 150CC /170 Cm","1 270 000 FCFA","Sacré Coeur","media/annonces/pics/thumbs/50435817dac780a827cf0c829e5d51f6.jpg"
"1706121398-5","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=50","A vendre moto Yamaha 250 TTR","1 250 000 FCFA","Mbour","media/annonces/pics/thumbs/bbf11c796e23bb301c15147cb2a9a0c0.jpg"
"1706121398-6","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=50","Taxi R21 à vendre","1 400 000 FCFA","Ziguinchor","media/annonces/pics/thumbs/fbaeb8da0b22b8c03357d121064809eb.jpg"
"1706121398-7","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=50","MERCEDES MAYBACK GLS 600 2021","251 000 000 FCFA","Castors","media/annonces/pics/thumbs/984815994ed6f4716dcff9a375ae624c.jpeg"
"1706121398-8","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=50","Hyundai Tucson 2013","7 599 000 FCFA","Liberté 6","media/annonces/pics/thumbs/576db169f4b957423d7357476e8c7e94.jpeg"
"1706121398-9","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=50","Bache voiture","18 000 FCFA","Grand Dakar","media/annonces/pics/thumbs/5df5299a0f14c630a6c58a6ed31ee308.jpeg"
"1706121398-10","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=50","Toyota Coster 2016","","Liberté 2","media/annonces/pics/thumbs/ab3a7ab73cb63a0dd4005eea7d63f784.jpg"
"1706121398-11","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=50","Vends Kia Sorento CRDI 2017","12 000 000 FCFA","Almadies","media/annonces/pics/thumbs/4c452e83f1872b3c9d53cc44244051c3.jpeg"
"1706121398-12","https://dakarvente.com/index.php?page=annonces_rubrique&url_categorie_2=vehicules&id=2&sort=&nb=50","Peugeot Boxer big Van à vendre","","Dakar","media/annonces/pics/thumbs/50f87b94ca50f89f2c703e3dc42dffaf.jpg"
